Topic,Word,Weight
1,olimpiade,0.02105760636166406
1,indonesia,0.019320895336017246
1,jakarta,0.013100064785750784
1,sport,0.01156702246446551
1,atlet,0.010581935077855672
1,paris,0.010389470355569237
1,jadi,0.009242440323203656
1,medali,0.007785484679718423
1,raya,0.0073155003377741315
1,tim,0.0072193739146452105
2,motogp,0.03026255518439028
2,marquez,0.01727318234080501
2,balap,0.01487609253345041
2,bagnaia,0.013455241267062677
2,martin,0.012567393619462498
2,marc,0.010869066019673385
2,posisi,0.010279736121253784
2,jadi,0.00999663934662486
2,ducati,0.009879705016240395
2,jorge,0.007844591146979484
3,indonesia,0.01713082848568303
3,open,0.016720052911195073
3,gim,0.014051989497827946
3,unggul,0.012068609166426932
3,menang,0.011023343074121112
3,dua,0.010469409695875596
3,kalah,0.0097113930417893
3,poin,0.009536153438295693
3,pertama,0.00935332328982794
3,gregoria,0.00904498711418121
4,bni,0.03454981959858857
4,sirnas,0.02560327618964881
4,f,0.02362427901657759
4,u,0.012985446493394816
4,putra,0.012670083995553515
4,ganda,0.011443094978988252
4,nasional,0.011298785681425089
4,tunggal,0.011094277952142717
4,jakarta,0.010798667887214288
4,putri,0.01012788763451488
5,all,0.013948341217741769
5,jakarta,0.013010059927127487
5,sport,0.012394932886543407
5,gelar,0.011244065753953624
5,england,0.010942779152370064
5,indonesia,0.010299737454998696
5,jadi,0.009769398703261298
5,lari,0.00886058894254476
5,juara,0.007242813069193018
5,kelas,0.006643858207522272
